,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
70,Warren Barguil,2023-11-30,Bretagne,Morbihan,76.57,1:59:23,410,259,1748,89,66,38.5,59.4,Nuages,9,87,8,6.9,W
71,Warren Barguil,2023-11-28,Bretagne,Morbihan,164.9,5:02:09,1750,221,3716,165,57,32.7,63.0,Dégagé,2,92,2,4.5,NW
72,Warren Barguil,2023-11-27,Bretagne,Morbihan,119.59,3:30:47,1140,258,2836,153,66,34.0,63.6,Pluie,12,91,11,20.7,WNW
73,Warren Barguil,2023-11-11,Bretagne,Morbihan,101.28,2:58:26,621,203,2099,81,52,34.1,53.6,Nuages,5,100,4,3.5,ENE
74,Warren Barguil,2023-11-05,Bretagne,Morbihan,61.99,1:58:11,662,193,1277,48,49,31.5,52.9,Dégagé,10,83,9,18.4,WNW
75,Warren Barguil,2023-12-28,Bretagne,Morbihan,96.43,2:52:09,930,234,2276,103,60,33.6,65.0,Vent,13,72,13,28.0,WSW
76,Warren Barguil,2023-12-26,Bretagne,Morbihan,59.39,3:18:35,1071,238,2558,139,61,17.9,51.8,Nuages,13,93,13,18.5,SW
77,Warren Barguil,2022-01-22,Bretagne,Morbihan,52.57,2:49:32,1231,120,1224,999,99,18.6,51.3,Quelques nuages,1,93,1,8.6,NE
78,Warren Barguil,2022-01-20,Bretagne,Morbihan,60.25,1:46:26,577,229,1385,61,59,34.0,61.2,Quelques nuages,9,64,6,17.5,NNE
79,Warren Barguil,2022-01-01,Bretagne,Morbihan,52.68,1:34:48,272,203,1111,44,52,33.3,55.0,Quelques nuages,14,80,14,17.0,SSW
80,Warren Barguil,2022-02-28,Bretagne,Morbihan,58.34,1:41:03,472,204,1178,46,52,34.6,62.5,Nuages,13,80,13,22.9,S
81,Warren Barguil,2022-02-27,Auvergne-Rhône-Alpes,Drôme,196.41,4:46:50,2441,271,3523,230,69,41.1,89.6,Dégagé,8,52,7,6.6,ENE
82,Warren Barguil,2022-02-26,Auvergne-Rhône-Alpes,Ardèche,5.32,12:01,22,172,116,4,44,26.6,38.0,Dégagé,12,37,12,10.5,N
83,Warren Barguil,2022-02-26,Auvergne-Rhône-Alpes,Ardèche,176.46,4:43:36,3130,287,4042,258,74,37.3,82.4,Dégagé,7,57,5,14.8,NNE
84,Warren Barguil,2022-02-25,Auvergne-Rhône-Alpes,Drôme,53.71,1:57:43,1042,251,1486,83,64,27.4,77.5,Dégagé,11,40,11,30.9,N
85,Warren Barguil,2022-02-23,Bretagne,Morbihan,108.0,3:25:50,1533,260,2518,154,67,31.5,59.7,Quelques nuages,5,89,5,3.7,ENE
86,Warren Barguil,2022-02-22,Bretagne,Morbihan,55.54,1:41:37,480,194,1129,43,50,32.8,58.0,Quelques nuages,13,86,13,30.6,NNW
87,Warren Barguil,2022-02-18,Provence-Alpes-Côte d'Azur,Var,213.48,4:59:36,2372,235,3419,181,60,42.8,94.0,Quelques nuages,14,62,14,14.0,NNW
