,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
128,Quentin Pacher,2023-09-14,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,86.78,3:09:36,1802,999,9999,999,99,27.5,68.9,Dégagé,24,72,26,10.7,ESE
129,Quentin Pacher,2023-09-13,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,53.0,1:54:44,748,999,9999,999,99,27.7,61.7,Dégagé,25,66,26,14.3,S
130,Quentin Pacher,2023-09-12,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,40.78,1:30:35,672,999,9999,999,99,27.0,55.5,Quelques nuages,25,68,27,8.2,SSE
131,Quentin Pacher,2023-09-04,Auvergne-Rhône-Alpes,Ain,47.98,1:44:16,290,131,818,999,99,27.6,59.3,Dégagé,23,68,24,13.1,ENE
132,Quentin Pacher,2023-09-02,Bretagne,Morbihan,40.64,1:16:43,262,999,9999,999,99,31.8,54.3,Dégagé,25,56,25,13.1,NE
133,Quentin Pacher,2023-09-01,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,74.69,2:33:33,1106,999,9999,999,99,29.2,80.2,Dégagé,19,68,19,4.2,N
134,Quentin Pacher,2023-11-29,Occitanie,Haute-Garonne,130.29,4:09:08,1107,999,9999,999,99,31.4,72.5,Nuages,8,73,6,7.8,ESE
135,Quentin Pacher,2023-11-28,Occitanie,Haute-Garonne,113.39,3:39:34,1012,999,9999,999,99,31.0,64.1,Nuages,12,83,11,21.8,NW
136,Quentin Pacher,2023-11-27,Occitanie,Haute-Garonne,74.9,2:22:00,648,999,9999,999,99,31.7,56.7,Nuages,3,88,3,4.0,WSW
137,Quentin Pacher,2023-11-25,Occitanie,Haute-Garonne,123.09,4:18:24,1762,999,9999,999,99,28.6,60.5,Dégagé,6,69,4,9.8,NNW
138,Quentin Pacher,2023-11-24,Occitanie,Haute-Garonne,81.58,2:30:49,767,999,9999,999,99,32.5,60.8,Nuages,10,79,7,20.7,W
139,Quentin Pacher,2023-11-22,Occitanie,Haute-Garonne,116.61,3:52:24,1486,999,9999,999,99,30.1,62.2,Nuages,10,87,6,23.8,NW
140,Quentin Pacher,2023-11-21,Occitanie,Haute-Garonne,70.56,2:17:28,709,999,9999,999,99,30.8,57.2,Pluie,12,87,12,22.0,NW
141,Quentin Pacher,2023-11-20,Occitanie,Haute-Garonne,104.0,3:12:56,1102,999,9999,999,99,32.3,60.1,Nuages,14,83,14,8.6,WNW
142,Quentin Pacher,2023-11-15,Occitanie,Haute-Garonne,83.7,2:37:53,709,231,2048,99,61,31.8,64.3,Quelques nuages,16,68,15,10.0,NW
143,Quentin Pacher,2023-11-14,Occitanie,Haute-Garonne,72.1,2:16:18,760,999,9999,999,99,31.7,62.0,Dégagé,23,61,23,7.7,W
144,Quentin Pacher,2023-11-13,Occitanie,Haute-Garonne,99.1,3:14:22,956,999,9999,999,99,30.6,64.0,Quelques nuages,11,82,10,8.0,SSE
145,Quentin Pacher,2023-11-11,Occitanie,Haute-Garonne,63.06,2:05:44,273,999,9999,999,99,30.1,57.2,Nuages,11,91,10,3.6,ESE
146,Quentin Pacher,2023-11-10,Occitanie,Haute-Garonne,56.22,1:57:00,573,211,1378,60,56,28.8,54.6,Pluie,13,79,13,26.1,W
147,Quentin Pacher,2023-11-08,Occitanie,Haute-Garonne,69.5,2:11:37,485,999,9999,999,99,31.7,58.0,Dégagé,10,75,9,5.5,SSE
148,Quentin Pacher,2023-12-29,Occitanie,Haute-Garonne,101.34,3:22:33,1301,231,2404,126,61,30.0,71.0,Nuages,8,93,7,3.7,SSE
149,Quentin Pacher,2023-12-28,Occitanie,Haute-Garonne,148.03,5:01:59,1413,999,9999,999,99,29.4,58.1,Nuages,10,87,7,22.4,SE
150,Quentin Pacher,2023-12-27,Occitanie,Haute-Garonne,97.44,3:16:26,974,251,2295,145,66,29.8,62.8,Dégagé,4,68,1,13.9,SE
151,Quentin Pacher,2023-12-26,Occitanie,Haute-Garonne,102.49,3:13:34,1215,263,2727,158,69,31.8,68.0,Quelques nuages,1,89,1,1.6,ESE
152,Quentin Pacher,2023-12-24,Occitanie,Haute-Garonne,131.08,4:17:12,1106,212,3101,134,56,30.6,66.6,Nuages,9,88,8,4.1,WSW
153,Quentin Pacher,2023-12-23,Occitanie,Haute-Garonne,101.92,3:19:08,1119,999,9999,999,99,30.7,56.9,Nuages,9,93,6,14.6,W
154,Quentin Pacher,2023-12-20,Auvergne-Rhône-Alpes,Ain,68.55,2:14:44,561,201,1507,64,53,30.5,54.6,Quelques nuages,7,87,4,15.0,NNW
155,Quentin Pacher,2023-12-07,Occitanie,Haute-Garonne,58.84,1:58:36,706,208,1341,60,55,29.8,72.4,Nuages,9,67,7,20.5,SE
